ID,javi_id,olga_id
76,ANCESTOR,ANCESTOR-C
1,WT 3 C2,con-3-C2
2,WT 4 C2,con-4-C2
3,WT 1 C2,con-1-C2
4,WT 3 C3,con-3-C3
5,WT 4 C3,con-4-C3
56,WT 1 C,con-1-C
6,WT 5 C3,con-5-C3
7,WT 1 C3,con-1-C3
8,WT 5 C2,con-5-C2
9,WT 2 C2,con-2-C2
10,WT 2 C3,con-2-C3
57,WT 2 C,con-2-C
58,WT 3 C,con-3-C
59,WT 4 C,con-4-C
60,WT 5 C,con-5-C
11,T1T2 5 C3 L,T1T2-5-C3-L
12,T1T2 5 C3 S,T1T2-5-C3-S
13,T1T2 5 C2 L,T1T2-5-C2-L
14,T1T2 5 C2 S,T1T2-5-C2-S
15,T1T2 4 C3L,T1T2-4-C3-L
16,T1T2 4 C3 S,T1T2-4-C3-S
17,T1T2 4 C2 L,T1T2-4-C2-L
18,T1T2 4 C2 S,T1T2-4-C2-S
19,T1T2 3 C2,T1T2-3-C3
20,T1T2 3 C3,T1T2-3-C2
21,T1T2 2 C3,T1T2-2-C3
22,T1T2 2 C2,T1T2-2-C2
23,T1T2 1 C3,T1T2-1-C3
24,T1T2 1 C2,T1T2-1-C2
25,T1 1 C3 L,T1-1-C3-L
26,T1 2 C3 L,T1-2-C3-L
27,T1 4 C2 L,T1-4-C2-L
28,T1 5 C3,T1-5-C3
29,T1 1 C3 S,T1-1-C3-S
32,T1 5 C2,T1-5-C2
33,T1 1 C2 L,T1-1-C2-L
34,T1 2 C2 L,T1-2-C2-L
35,T1 3 C3,T1-3-C3
36,T1 4 C3 L,T1-4-C3-L
37,T1 1 C2 S,T1-1-C2-S
38,T1 2 C2 S,T1-2-C2-S
39,T1 3 C2,T1-3-C2
40,T1 4 C3 S,T1-4-C3-S
41,T1 3 C3 L,T1-3-C3-L
42,T1 3 C3 S,T1-3-C3-S
43,T1 3 C2 L,T1-3-C2-L
44,T1 3 C2 S,T1-3-C2-S
61,T1 1 S C,T1-1-S-C
62,T1 1 L C,T1-1-L-C
63, T1 2 S C,T1-2-S-C
64,T1 2 L C,T1-2-L-C
65,T1 3 S C,T1-3-S-C
66,T1 3 L C,T1-3-L-C
67,T1 4 C,T1-4-C
68,T1 5 C,T1-5-C
69,T1T2 1 C,T1T2-1-C
70,T1T2 2 C ,T1T2-2-C
71,T1T2 3 C ,T1T2-3-C
72,T1T2 4 S C,T1T2-4-S-C
73,T1T2 4 L C,T1T2-4-L-C
74,T1T2 5 S C,T1T2-5-S-C
75,T1T2 5 L C,T1T2-5-L-C
